Race;Race Pass;World;Route;Route link;Laps;Kilometers;Height Meters
The iTTT;5091861;France;Champs-Élysées;https://zwiftinsider.com/route/twilight-harbor/;2;16,4;92
The Sprint;5091870;Makuri Island;Castle Crit;https://zwiftinsider.com/route/castle-crit/;5;18,9;261
The After Party;5091875;Watopia;Downtown Eruption;https://zwiftinsider.com/route/richmond-uci-worlds/;1;19,9;275
The Climb;5091880;Watopia;Oh Hill No;https://zwiftinsider.com/route/oh-hill-no/;<1;3,742;306
Total;;;;;;;
