Race;Race Pass;World;Route;Route link;Laps;Kilometers;Height Meters
The iTTT;5091857;Richmond;The Fan Flats;https://zwiftinsider.com/route/the-fan-flats/;2;14,4;60
The Sprint;5091868;Crit City;Downtown Dolphin;https://zwiftinsider.com/route/downtown-dolphin/;10;19,7;170
The After Party;5091872;Watopia;Three Little Sisters;https://zwiftinsider.com/route/three-little-sisters/;<1;16,2;200
The Climb;5091877;Innsbruck;Achterbahn;https://zwiftinsider.com/route/achterbahn/;<1;8,8;425
Total;;;;;;59,1;855
