Race;Race Pass;World;Route;Route link;Laps;Kilometers;Height Meters
The iTTT;5091859;Makuri Island;Twilight Harbor;https://zwiftinsider.com/route/twilight-harbor/;2;14;70
The Sprint;5091869;Yorkshire;Duchy Estate;https://zwiftinsider.com/route/duchy-estate/;6;19,7;273
The After Party;5091874;Richmond;Richmond UCI Worlds;https://zwiftinsider.com/route/richmond-uci-worlds/;1;16,5;160
The Climb;5091879;Watopia;Big Loop;https://zwiftinsider.com/route/big-loop/;<1;14;435
Total;;;;;;64;940
